arg-id,argument,x,y,cluster-level-1-id,cluster-level-2-id
A4_4,安全であることは誰も証明できない。,8.198153495788574,6.9803547859191895,1_5,2_52
A4_5,経産省は無責任な案を提出すべきではない。,7.315600872039795,3.299777030944824,1_7,2_48
A5_0,原発エネルギーを止めるべきである。,7.98638391494751,5.61447811126709,1_8,2_15
A5_1,原発は攻撃の標的になり得るため、国内に核兵器を持っているようなものだ。,8.834033012390137,6.7724080085754395,1_8,2_23
A5_2,原発は廃炉にしてやめていくべきである。,8.430481910705566,5.720010280609131,1_8,2_15
A5_3,2024年の原発エネルギーが2割になるのはおかしい。,5.0537896156311035,3.645226001739502,1_1,2_51
A5_4,老朽化した原発が多いため、新規に作らなければ目的を達成できない。,8.66771411895752,5.928833484649658,1_8,2_41
A5_5,再生エネルギーにシフトし、雇用を増やし、国内でエネルギーを作るべきである。,4.335818767547607,5.3462677001953125,1_4,2_14
A6_0,原子力産業の儲けと被害の受け手が大きくズレていることが、東電事故を通じて露わになった。,8.485852241516113,7.654391288757324,1_6,2_57
A6_1,事故処理は終わっていない。,9.563055038452148,7.928930282592773,1_6,2_19
A6_2,原発のリスクとコストは相対的にも絶対的にも大きい。,6.630098819732666,7.639857769012451,1_5,2_10
A6_3,原子力依存への回帰は再考すべき。,6.996269702911377,6.171222686767578,1_5,2_62
A7_0,原子力発電の最大限活用に賛成であり、エネルギー自給率の向上と脱炭素化のためには原子力の活用が必須である。,7.057210922241211,6.412153244018555,1_5,2_62
A7_1,日本は原子力産業の再稼働にリソースを割いているため、サプライチェーンの再整備が重要である。,7.2869744300842285,6.294908046722412,1_5,2_62
A7_2,国は原子力発電の新設を支援し、過去の失敗を繰り返さないようにすべきである。,6.712894916534424,6.152432918548584,1_5,2_62
A7_3,原子力エネルギーは電気だけでなくクリーンな熱源にもなりうるため、熱利用の研究開発及び商業化の支援が必要である。,5.238290309906006,6.500916957855225,1_4,2_60
A8_0,脱炭素と電気料金の低廉化を図るために原発利用の縮小を評価する,6.356633186340332,6.233173847198486,1_4,2_13
A8_1,エネルギー安全保障上、原発利用の推進を期待する,5.814417839050293,6.300726890563965,1_4,2_39
A8_2,再エネと原発は排他的ではなく、共に推進・利用すべき,5.3973588943481445,5.863580226898193,1_4,2_0
A8_3,岸田政権が原発利用を表明する際、自治体同意を必須とせず、強権的な政治判断を期待する,7.948853969573975,4.6884565353393555,1_8,2_35
A9_0,国の審査に合格した原発は都道府県への届出のみで運転できるようにすべき,9.003335952758789,6.199027061462402,1_8,2_41
A9_1,地元同意が必要な場合は法手続きの方法や期限を規定すべき,8.942227363586426,2.777254581451416,1_7,2_45
A9_2,法的根拠のない原発の運転制限は財産権の侵害の恐れがあることを周知すべき,9.247503280639648,5.3194098472595215,1_8,2_7
A10_0,原子力の事故後の処理費用が膨大過ぎて費用の総額すら見通せない,6.448059558868408,8.098532676696777,1_5,2_24
A10_1,原子力発電で生じる使用済み燃料と高レベル廃棄物の最終処分場が決まらないまま運転を続けるのは矛盾している,7.688719749450684,8.278694152832031,1_6,2_49
A10_2,安価で安定した電力確保のために、特に積雪が多い地域には高効率火力を一定数維持すべき,6.376730918884277,6.128401756286621,1_4,2_13
A10_3,地熱発電の利用拡大が必要である,4.878749370574951,6.617866039276123,1_4,2_60
A10_4,太陽光発電の有効利用促進には、蓄電所のような電力調整できる仕組みの整備が急がれる,4.0434489250183105,7.071539878845215,1_4,2_22
A11_0,原子力発電を推進することに反対する,7.782934188842773,5.800662994384766,1_5,2_30
A11_1,日本は災害の多い国であり、原発は戦争時に攻撃対象になる可能性がある,9.38029670715332,7.03552770614624,1_6,2_50
A11_2,世界では再生可能エネルギーへの転換が進んでおり、日本だけが取り残されてはいけない,4.22514009475708,5.301476955413818,1_4,2_14
A11_3,原発に関わる費用を国民に押し付けることに反対する,7.728806495666504,4.7547173500061035,1_8,2_35
A11_4,次の選挙ではこれらの点を重要視する,8.284878730773926,3.4791810512542725,1_8,2_2
A12_0,原発事故が起きた際の被害の回復には金をかけても到底無理であるため、原発反対の国民の電気代に原発新設の代金を上乗せすることは認められない。,7.579556941986084,4.92050313949585,1_8,2_55
A13_0,原子力発電は発電そのものは脱炭素電源だが、ライフサイクル全体を考慮すると必ずしも脱炭素電源とは言えない。,7.306887149810791,6.861414432525635,1_5,2_5
A13_1,廃炉方法が確定していないため、原子力発電のライフサイクルの総CO2の算定ができない。,7.434762954711914,8.565784454345703,1_6,2_49
A13_2,エネルギー基本計画はエネルギー需要と気候変動対策のバランスを取るべきであり、原子力のライフサイクルの総CO2を議論から外すべきではない。,6.919445037841797,2.60750150680542,1_7,2_11
A13_3,原発の新増設を行わないという方針を加え、基本計画を再検討すべき。,9.213565826416016,5.111155033111572,1_8,2_7
A13_4,経済成長の犠牲を許容し、地球温暖化対策を優先する必要がある。,5.679484844207764,4.312715530395508,1_1,2_8
A14_0,福島第一原発事故を踏まえ、原発以外のエネルギー政策に全力を尽くしてシフトすべきである。,10.51540470123291,7.626814365386963,1_6,2_29
A14_1,福島第一原発付近は今も帰宅困難であり、処理水の海洋放出や汚染土の全国ばら撒きは安全性が担保されていない。,10.278762817382812,8.139159202575684,1_6,2_19
A14_2,デブリの取り出しが進んでおらず、廃炉まで何百年かかるのか不明である。,7.075536727905273,9.393095016479492,1_6,2_34
A14_3,事故後に進展がないのに、なぜ原発に頼り続けようとしているのか疑問である。,8.81567668914795,7.647744655609131,1_6,2_57
A14_4,地震大国である日本で、今後30年以内に南海トラフ地震が予測されている中、故郷を失う国民や住めない土地を増やさないようにすべきである。,9.53654956817627,6.87197208404541,1_6,2_50
A14_5,必要な努力をせずに原発の増設を進めることは許されない。,7.873013019561768,6.180186748504639,1_5,2_30
A15_0,福島第一原発事故により、国が原子力を2割とする基本計画を立てることは信じられない。,10.391777038574219,7.394278526306152,1_6,2_29
A15_1,国民の暮らし、財産、国土を守るために、原子力関係では廃炉と核ゴミの処理に力を注ぐべき。,7.9751434326171875,7.603870868682861,1_5,2_52
A15_2,第7次エネルギー基本計画は、原子力をゼロにし、再生可能エネルギーと省エネの強化を掲げるべき。,6.832266807556152,2.2562317848205566,1_7,2_11
A16_0,基本的人権を尊重し、「カネより命」を大切にする憲法を守るべきである。,8.36819839477539,4.416736125946045,1_8,2_28
A16_1,「命よりカネ」を大切にする原発再稼働を認めない。,9.843969345092773,5.283732891082764,1_8,2_46
A16_2,原発再稼働を推進する「エネルギー基本計画」は軽蔑の対象である。,7.093060493469238,2.5470070838928223,1_7,2_11
A17_0,トランプ政権に学ぶべきである。,8.651803016662598,4.734399795532227,1_8,2_28
A17_1,日本の優秀な火力発電を採用できるよう、銀行の融資基準を見直すべきである。,6.977748870849609,5.4172587394714355,1_8,2_55
A17_2,G7での計画は日本だけが間抜けであり、海外から笑われていることを理解すべきである。,3.897111177444458,2.4295122623443604,1_2,2_42
A17_3,私たちの税金を利権に使うべきではない。,8.283548355102539,4.300091743469238,1_8,2_28
A17_4,国民はすでに気づいているが、気づいていないのは政治家たちである。,8.126715660095215,3.57256817817688,1_8,2_2
A18_0,再エネを増やすべき,5.2129340171813965,4.417885780334473,1_1,2_25
A18_1,福島原発事故を忘れないべき,10.095466613769531,7.54960298538208,1_6,2_1
A18_2,原発は最大限の努力で廃炉すべき,8.424598693847656,5.736627578735352,1_8,2_15
A19_0,原発の新規建設は不要であり、既存の原発もすべて廃炉にすべきである。,8.737605094909668,5.82501220703125,1_8,2_41
A19_1,クリーンなエネルギーという主張は嘘であり、原発は核廃棄物を生み出し続け、事故が起これば周辺が汚染される。,6.9477219581604,6.840198040008545,1_5,2_36
A19_2,福島の悲劇が続いている中で、避難住民への補償が蔑ろにされているのに原発を増やすことは許されない。,10.150299072265625,8.118906021118164,1_6,2_19
A20_0,再エネを最大限増やすべきである。,5.221368312835693,4.343839168548584,1_1,2_25
A20_1,再エネの増加はエネルギー自給率を向上させ、電気を国産できるため重要である。,4.624743461608887,5.243368625640869,1_4,2_14
A20_2,再エネは自宅や事業所で生産可能である。,5.116868495941162,4.396803379058838,1_1,2_25
A21_0,原発を廃絶すべきである,8.45534896850586,5.573980808258057,1_8,2_15
A22_0,原発の新増設には絶対反対である,9.631914138793945,4.897853374481201,1_8,2_40
A22_1,東電はきちんと責任をとるべきである,8.81857681274414,7.98798131942749,1_6,2_27
A22_2,中抜きには反対である,8.973474502563477,4.359629154205322,1_8,2_28
A23_0,気候変動は命の問題であり、国民がその影響を知る機会が少ないことが問題である。,6.184237957000732,3.6679606437683105,1_1,2_63
A23_1,化石燃料の燃焼による大気汚染が健康に与える影響について、国民にもっと知識を提供すべきである。,3.969269275665283,4.039778232574463,1_2,2_17
A23_2,再生可能エネルギーへの切り替えの重要性を国民に理解させる必要がある。,4.8125996589660645,5.288090705871582,1_4,2_14
A23_3,気候変動による健康被害や超過死亡についての情報を広めるべきである。,6.206958770751953,3.567539930343628,1_1,2_63
A23_4,温室効果ガス削減目標を設定し、再生可能エネルギーの割合を大幅に増加させるべきである。,4.93382453918457,2.8251595497131348,1_1,2_12
A23_5,石炭火力発電所の段階的廃止を進め、再生可能エネルギーの拡大に予算を集中させるべきである。,3.4191110134124756,3.4411330223083496,1_2,2_3
A24_0,2035年までに温室効果ガス60%削減という目標は不十分であり、世界で必要な削減の平均値にも足りない。,4.983259201049805,2.3736629486083984,1_1,2_12
A24_1,原発の「最大限活用」方針は危険であり、原発稼働中の放射能排出やCO2排出の問題を考慮すべきである。特に「浮体式洋上発電」の研究を進めるべき。,7.133458614349365,6.021160125732422,1_5,2_62
A24_2,「エネルギー基本計画」の決定プロセスに市民や若い世代、環境団体が参加できる民主的な議論を行うべき。,8.437458992004395,2.305267095565796,1_7,2_16
A25_0,火力発電に水素やアンモニアを混ぜてCO2を改修するのは止めてほしい。,2.3913848400115967,5.826184272766113,1_3,2_4
A25_1,リソースは再エネ（特に洋上風力、地熱発電）に回して、再エネを増やしてほしい。,3.3921756744384766,5.904548645019531,1_4,2_20
A25_2,水素やアンモニア生成時にCO2が発生しており、混合発電はCO2削減に貢献していない。,2.535390853881836,4.636707305908203,1_2,2_21
A25_3,再エネで生成した水素やアンモニアを混ぜて発電するよりも、元の再エネを電気として供給した方が良い。,2.3897414207458496,5.88924503326416,1_3,2_4
A25_4,水素等は高温が必要なエネルギーのために使うべきで、発電に使うのはもったいない。,2.1697168350219727,6.161806106567383,1_3,2_58
A25_5,水素等の混合発電のための研究費、設備費、補助金、人材は再エネ発電に活用してほしい。,2.1979146003723145,6.15498161315918,1_3,2_58
A26_0,再生可能エネルギーをもっと増やすべきです。,3.927777051925659,5.620234966278076,1_4,2_32
A27_0,再生エネルギーによる自然破壊のニュースが目立っているため、地域の人のメリットになる形の政策を強化する必要がある。,4.592278003692627,5.03999662399292,1_4,2_14
A27_1,系統蓄電池の普及想定が低いため、VREの統合費用が過大に見積もられている可能性がある。,4.485898971557617,6.132077217102051,1_4,2_9
A27_2,SNS上で「再エネは統合費用が高い」という意見が広がっているが、これは正確ではない可能性がある。,4.95442008972168,5.751485824584961,1_4,2_0
A28_0,再生可能エネルギーを増やすべき,3.9404289722442627,5.635984420776367,1_4,2_32
A28_1,原発はゼロにすべき,8.214849472045898,6.352551460266113,1_8,2_61
A29_0,原発推進には反対である。,8.958127975463867,4.893702030181885,1_8,2_7
A29_1,原発はコスト、リスク、スピードの面であり得ない。,6.685885429382324,7.662995338439941,1_5,2_10
A29_2,福島原発事故の損害が未だに支払い切れておらず、被災者や避難者が多く残っている。,10.149590492248535,8.094199180603027,1_6,2_19
A29_3,日本海側の原発は外国との緊張関係においてリスクが高い。,9.164231300354004,6.866483211517334,1_6,2_50
A29_4,原発建設のコストが電気料金に影響を与える可能性がある。,6.030747413635254,7.695992946624756,1_5,2_38
A29_5,原発の建設や運営に伴うCO2排出が大きい。,3.0264551639556885,4.242012023925781,1_2,2_59
A29_6,ウランの輸入により国益が損なわれている。,7.030503273010254,7.209209442138672,1_5,2_36
A29_7,ウラン資源が乏しく、再処理工場や最終処分場が未決定で持続可能性がない。,7.4438700675964355,8.037989616394043,1_5,2_33
A29_8,事故を起こした原発の放射性廃棄物を海に捨てることは危険である。,8.38554573059082,8.859381675720215,1_6,2_6
A29_9,地震大国で新増設する土地が見つからない。,9.551231384277344,6.756110191345215,1_6,2_50
A29_10,衰退産業に国が力を注ぐことは許されない。,7.318412780761719,3.656980514526367,1_7,2_48
A29_11,再生可能エネルギーは環境面だけでなくコスト面でも原発より優れている。,3.7792627811431885,6.190254211425781,1_4,2_20
A29_12,再生可能エネルギーの市場は毎年何百兆円もあり、原発に固執することは遅れを取ることになる。,3.7738685607910156,6.198017597198486,1_4,2_20
A29_13,後世に責任を持つために国産国生の再生可能エネルギーに舵を切るべきである。,4.475614070892334,5.144114017486572,1_4,2_14
A29_14,経済界に忖度するべきではなく、原発推進には反対である。,8.724440574645996,4.904668807983398,1_8,2_7
A30_0,原発を止めるためには、利権構造を改革する必要がある。,8.313455581665039,5.40980339050293,1_8,2_15
A30_1,原発は人間が管理できない代物である。,8.379640579223633,7.009814739227295,1_5,2_52
A31_0,原発を推進することはコスト、リスク、スピード面で劣るため反対である。,8.919106483459473,4.949380397796631,1_8,2_7
A31_1,再エネはコストが安く、安定的かつ環境面や国益において優れているため、再エネシフトを進めるべきである。,5.0861101150512695,4.500885963439941,1_1,2_25
A31_2,原発の新増設や再稼働はリスクしかないため、あり得ない。,8.536955833435059,6.772162437438965,1_8,2_23
A31_3,国民の命を守るために、原発推進を支持する経済界の意見に国が力を貸すべきではない。,8.088051795959473,4.733578681945801,1_8,2_28
A32_0,気候危機・エネルギー・脱炭素政策の策定において、ELSIの論点を加えた「S+4E」原則への切り替えが必要である。,6.399568557739258,3.176276445388794,1_1,2_63
A32_1,審議会参加者の多様性を確保し、経済的側面以外の価値を取り込む必要がある。,8.829560279846191,2.2298402786254883,1_7,2_16
A32_2,日本は化石燃料からの転換を進め、再生可能エネルギーの設備容量を2030年に3倍にするべきである。,3.6355910301208496,2.526622772216797,1_2,2_42
A32_3,日本は国際合意に沿った野心的な温室効果ガス排出削減の国際公約を策定し、1.5℃目標との整合性を明示する必要がある。,4.869627475738525,2.5424416065216064,1_1,2_12
A32_4,化石燃料・原子力から脱却し、再生可能エネルギー100%転換を目指すエネルギー政策を打ち出すべきである。,5.333084583282471,4.918704032897949,1_1,2_25
A32_5,日本はエネルギー、電力の脱炭素化を加速し、国際競争力を強化する必要がある。,4.040689945220947,4.005728721618652,1_2,2_17
A32_6,再生可能エネルギーのポテンシャルを生かすために、技術力・資金・能力を活用することが可能である。,3.929985761642456,5.777546405792236,1_4,2_32
A33_0,第7次エネルギー基本計画（案）に反対する。,7.4695940017700195,2.420619010925293,1_7,2_47
A33_1,福島原発事故以降掲げられていた「可能な限り原発依存度を低減」を削除しないでほしい。,6.533115386962891,5.934957981109619,1_4,2_13
A33_2,「原子力の最大限活用」に反対する。,7.5736188888549805,6.110065460205078,1_5,2_30
A33_3,「可能な限り原発依存度を低減」を徹底し、原発ゼロを早く達成すべきである。,6.377608299255371,5.9404096603393555,1_4,2_13
A33_4,既存原発の最大限活用、六ヶ所再処理の推進、使用済核燃料の中間貯蔵・乾式貯蔵の推進、次世代革新炉によるリプレースの推進に反対する。,9.418839454650879,5.499453544616699,1_8,2_46
A33_5,これらの方策は原発の重大事故の危険を高め、住民に危険を押しつけるものである。,9.065911293029785,8.144377708435059,1_6,2_27
A33_6,核のごみを増やし続け、貯蔵施設を核のゴミ捨てとし、危険な負の遺産を子孫に押しつけるものである。,7.7358293533325195,8.503135681152344,1_6,2_49
A33_7,次世代革新炉の巨額で長期にわたる建設資金を回収するため、住民への負担を前提とする資金回収策に反対する。,9.572019577026367,5.005533695220947,1_8,2_40
A33_8,資金回収策を具体的に示さず、計画を決めた後に具体化して進めるやり方はしないでほしい。,7.2364888191223145,3.9729840755462646,1_8,2_35
A34_0,災害大国で原発稼働は諸刃の剣である,9.480378150939941,6.972968578338623,1_6,2_50
A34_1,福島の原発は向こう100年経っても燃料棒を取り出せない状況である,9.7683687210083,7.987527847290039,1_6,2_19
A34_2,人類は原発を管理できない,8.242974281311035,7.293580055236816,1_5,2_52
A35_0,原発を維持・新設する方針に反対する。,9.436924934387207,4.9840216636657715,1_8,2_40
A35_1,日本は資源に乏しいという根拠は不明であり、太陽光発電と蓄電池で十分なエネルギーが得られる。,3.7513983249664307,6.69166898727417,1_4,2_20
A35_2,放射性廃棄物を10万年保管できる場所が国内に見つかっておらず、他国が引き取る見込みもないため、原発を維持・新設することは人道に反する。,8.06563663482666,8.747932434082031,1_6,2_6
A35_3,地震国日本において、原発の耐震性が一般住宅よりも弱い現状で原発を維持することは危険であり、人道に反する。,9.496438026428223,6.898397445678711,1_6,2_50
A35_4,原発は高価な発電方式であり、放射性廃棄物管理コストを考慮すれば、住人に電気料金や税金、放射線被害を押し付ける人道に反する計画である。,6.337619304656982,8.050962448120117,1_5,2_24
A36_0,今が地球温暖化の転換点であるため、もっと思い切った政策が必要である。,5.744499683380127,4.280777454376221,1_1,2_8
A36_1,再エネの導入や技術向上に力を入れ、高い目標を設定すべきである。,5.314303874969482,4.215928554534912,1_1,2_25
A36_2,最初から低い目標では改革は進まない。,5.5013532638549805,3.805180072784424,1_1,2_51
A37_0,福島原発事故解決への目処が全く立たない今、原発は人間にとって制御できない物であることを考えるべきである。,9.658588409423828,7.76283073425293,1_6,2_1
A37_1,福島原発の廃炉費用の総額が判明しない今、原発は今すぐやめるべきである。,6.515135288238525,8.350447654724121,1_5,2_24
A37_2,再生可能エネルギーの低価格化が進む現在、日本も再生可能エネルギーへ大きくシフトするべきである。,4.2034454345703125,5.554007530212402,1_4,2_32
A38_0,再生可能エネルギーをもっと増やすべき,3.9292616844177246,5.591829776763916,1_4,2_32
A38_1,再生可能エネルギーが足りない,3.798794746398926,5.6736931800842285,1_4,2_32
A39_0,原子力発電の推進に反対である。,7.855259418487549,5.750692367553711,1_5,2_30
A39_1,福島第一原発事故では多くの人が住まいを失い、帰れない人が多数いる。,10.32447338104248,8.11283016204834,1_6,2_19
A39_2,原発の「想定外」の事故が過去に起きており、地震のたびに原発の安全性を心配しなければならない。,8.985563278198242,7.480348587036133,1_6,2_57
A39_3,避難計画は役に立たないことが明らかになった。,9.185253143310547,7.890793800354004,1_6,2_27
A39_4,原発を稼働すれば大量の放射性廃棄物が出るが、その安全な処理方法は確立されていない。,7.933034420013428,8.648316383361816,1_6,2_6
A39_5,再生可能エネルギーの導入をもっと抜本的に強化すべきである。,4.058658599853516,5.401574611663818,1_4,2_32
A39_6,温暖化対策の面からも再生可能エネルギーの導入を強化すべきである。,4.820887565612793,4.481631278991699,1_1,2_25
A40_0,原発推進の政策に戻ることに不安を感じており、絶対にやめてほしい。,8.720479011535645,4.799560546875,1_8,2_7
A40_1,すべての原発を停止・廃炉にすべきである。,8.107998847961426,5.48909330368042,1_8,2_15
A40_2,原発はCO₂対策にはならず、建設や燃料調達、廃棄物の保管・処理、廃炉などの過程で大量のCO₂を排出する。,3.007411479949951,4.226614952087402,1_2,2_59
A40_3,日常的に放射能をばらまき、海に温排水を垂れ流している。,8.465304374694824,9.099983215332031,1_6,2_31
A40_4,福島原発の事故のような事態が再発すれば取り返しのつかないことになる。,9.889360427856445,7.559319019317627,1_6,2_1
A40_5,再生可能エネルギーへの研究と投資を増やし、抜本的なCO₂対策を進めるべきである。,4.028537273406982,5.121155738830566,1_4,2_14
A41_0,我が国は再生エネルギーに集中すべきであり、CO2を大量に排出する火力発電を止めるべきである。,3.8386166095733643,4.779952049255371,1_2,2_17
A41_1,原発は全廃に向けて努力すべきであり、エネルギー政策は福島第一原発事故の教訓を反映させるべきである。,10.49643325805664,7.628485679626465,1_6,2_29
A41_2,原発は安全対策費用や事故時のコストが莫大であり、経済的でも環境に優しくもないため、再生エネルギーの推進が必要である。,6.412415027618408,7.640573024749756,1_5,2_10
A41_3,エネルギー基本計画の見直しを行い、再生エネルギーのさらなる推進と原発全廃を目指すべきである。,6.771579265594482,2.6325533390045166,1_7,2_11
A42_0,原発依存度を下げる方針から原発を最大限活用する方向に転換することに反対である。,6.908397197723389,5.83371114730835,1_5,2_62
A42_1,福島の原発事故の解決が進んでおらず、汚染水の排出が続いている現状を考えると、原発推進には根拠がない。,9.76395320892334,7.968739986419678,1_6,2_19
A42_2,原発推進に対して国民として大反対であり、全ての原発は廃炉にするべきである。,9.116561889648438,5.12346887588501,1_8,2_7
A43_0,地形的に可能な限り47都道府県に原発を作るべきである。,9.170515060424805,6.209375381469727,1_8,2_41
A43_1,原子力発電所は24時間発電でき、火力発電のように燃料輸入に依存しない。,7.538241386413574,6.4999566078186035,1_5,2_5
A43_2,太陽光発電や風力発電は環境に悪影響を与えるため、原子力発電を推奨する。,4.405154705047607,7.341652870178223,1_4,2_22
A43_3,国立大学に原子力工学科を設立し、研究者が日本で活躍できる場を整えるべきである。,7.402968883514404,6.63854455947876,1_5,2_5
A43_4,日本国内の送電を60Hzに統一すべきである。,7.501308917999268,5.661393165588379,1_5,2_30
A43_5,安定した電力供給のためには原子力発電が不可欠である。,7.639039039611816,6.981146812438965,1_5,2_5
A44_0,日本の原子力発電方式を原子力空母と同じ方式にすべきである。,7.866242408752441,6.654824256896973,1_5,2_5
A44_1,JAIFは原子力空母の安全性について発言している。,8.290943145751953,7.184276103973389,1_5,2_52
A44_2,三菱重工が開発している小型の原子力発電機を支援すればエネルギー庁の存在意義を示せる。,4.64415168762207,6.181652545928955,1_4,2_9
A44_3,災害復旧のための原子力発電船の開発が期待できる。,5.929447650909424,6.569330215454102,1_4,2_39
A44_4,自衛隊で災害復旧のための原子力発電船を使用するには博士号を持った人が運用すべきであり、防衛大学校に原子力専攻科を設立すべきである。,7.259344100952148,6.597683429718018,1_5,2_5
A44_5,地域活性化のために山口県の上関原発を優先すべきである。,9.030094146728516,4.626084804534912,1_8,2_7
A45_0,原発を積極的に活用する方針に強く反対する。,8.959861755371094,5.008976936340332,1_8,2_7
A45_1,地震大国日本で原発を利用することは非現実的である。,9.553739547729492,6.852604389190674,1_6,2_50
A45_2,福島第一原子力発電所の事故により、国土と海洋が放射性物質で汚染された。,9.056017875671387,9.069768905639648,1_6,2_31
A45_3,今後も巨大な地震が繰り返し起きることが分かっているため、放射性物質で国土や海洋を汚染する政策はやめるべきである。,8.518135070800781,8.655447006225586,1_6,2_6
A45_4,電力はガス火力発電と再生可能エネルギーで十分にまかなえる。,3.770597457885742,6.155361652374268,1_4,2_20
A45_5,原発関連企業の利権を維持するために国土や市民の健康を危険にさらす政策はやめるべきである。,8.113642692565918,4.881535530090332,1_8,2_28
A45_6,原発を乱立させることは防衛の観点からも危険である。,9.110567092895508,5.8680219650268555,1_8,2_41
A45_7,国土の清浄さや市民の健康を守ることは重要な国益である。,8.10507869720459,4.668498516082764,1_8,2_28
A45_8,原発関連企業の一時的な儲けのために国益を損ねる政策はやめるべきである。,7.802370071411133,4.819969177246094,1_8,2_35
A46_0,原発は安いとは言えない。コストのかかる発電である。,6.274866104125977,7.8550848960876465,1_5,2_24
A46_1,原発の発電コストには賠償等が含まれていない。,6.507404804229736,8.006475448608398,1_5,2_24
A46_2,国民に聞かれたくない事は報じずに進めるエネルギー政策を見直すべきである。,8.368661880493164,2.898998737335205,1_7,2_54
A47_0,原子力発電は「準国産エネルギー源」とするのは誤りであり、ウランは全面的に輸入に依存しているため、国産とは言えない。,7.154480457305908,7.312651634216309,1_5,2_33
A47_1,使用済み核燃料の再処理も外国に依存しているため、原子力発電を国産エネルギーと呼ぶことはできない。,7.395605564117432,7.834076881408691,1_5,2_33
A47_2,再生可能エネルギーこそが真の国産エネルギーであり、太陽光・風力・水力・地熱は日本国内で生産できる。,3.6875364780426025,6.464658737182617,1_4,2_20
A47_3,エネルギー安全保障は発電に伴う危険性も考慮すべきであり、福島の原発事故は未曾有の被害をもたらした。,9.024208068847656,7.492000102996826,1_6,2_57
A47_4,原子力発電にしがみつくことは愚かな選択であり、地震の多い日本では過酷な事故を経験している。,9.252185821533203,7.07847261428833,1_6,2_50
A47_5,第7次エネルギー基本計画(案)に強く反対する。,7.453236103057861,2.353689193725586,1_7,2_47
A47_6,原発事故被災者の集団訴訟が1万人を超えており、原発の最大限活用に対する反発が強まっている。,9.24026107788086,8.443493843078613,1_6,2_27
A48_0,2012年の環境とエネルギーをめぐる国民的議論では、2030年代に原発ゼロを目指すという結論が出されたが、政権交代によりその方針が白紙に戻された。,6.286993026733398,5.034694194793701,1_4,2_44
A48_1,福井県の原発事故避難計画は、国内避難民を事実上「棄民」扱いするものであり、国際法に反している。,9.298243522644043,7.968362331390381,1_6,2_27
A48_2,バイオマス発電は海外の森林破壊や国内外の人権侵害につながるため、ゼロにすべきである。,4.683749198913574,4.765393257141113,1_4,2_14
A49_0,火災事故が度重なり、死傷者が出ていることは深刻な問題である。,9.206741333007812,8.215604782104492,1_6,2_27
A49_1,木質バイオマス発電は温室効果ガスを石炭より多く排出し、地球温暖化を進めるため、支援をやめるべきである。,4.640568256378174,4.708098411560059,1_4,2_14
A49_2,再生可能エネルギーを主力電源とする方針に対し、既存ストックへの支援が不足しているため、住宅用太陽光発電の既存ストックへの対策を行うべきである。,4.08270263671875,6.809182167053223,1_4,2_22
A49_3,小型風力発電についての支援が不足しているため、土地の活用とエネルギーの多様化を進めるべきである。,4.437709808349609,6.377758026123047,1_4,2_9
A49_4,地熱発電に関しては、温泉事業者の不安を解消するために情報共有を進めるべきである。,4.981228828430176,6.632026672363281,1_4,2_60
A49_5,製造業は再生可能エネルギーを使用する必要があり、データセンターや半導体工場も再生可能エネルギーを求めている。,4.225302696228027,5.260671615600586,1_4,2_14
