comment-id,original-comment,arg_id,argument,category_id,category,source,url,attribute_original_count,attribute_comment-id,attribute_duplicate_group_id
3,"イギリスのように、先進国の中でも極めて高い削減目標を掲げ、それを国全体で一刻も早く達成できるように、政府がしっかりと達成を成し遂げるための政策を打ち立ててほしい。
自国で賄えない限りある資源で、燃やすと有毒なガスしか出さないような化石燃料の利用はゼロにしてほしい。日本の発展は、地球があって初めて叶うことであり、目先の利益を守るために地球がさらなる気候変動に見舞われれば、発展しようにもできないのは、子供でも分かるくらいだと思います。
全て再エネにする。火力発電ゼロにする。電気自動車以外は廃止する。化石燃料を使う暖房器具は廃止する。お願いだからそうしてください。どうか、国民の声を聞いてください。",A3_3,電気自動車以外は廃止し、化石燃料を使う暖房器具も廃止すべき,1_2,持続可能なエネルギー政策への転換と化石燃料依存の解消,dhtool2025/full-complete-compressed,,1,3,group-3
3,"イギリスのように、先進国の中でも極めて高い削減目標を掲げ、それを国全体で一刻も早く達成できるように、政府がしっかりと達成を成し遂げるための政策を打ち立ててほしい。
自国で賄えない限りある資源で、燃やすと有毒なガスしか出さないような化石燃料の利用はゼロにしてほしい。日本の発展は、地球があって初めて叶うことであり、目先の利益を守るために地球がさらなる気候変動に見舞われれば、発展しようにもできないのは、子供でも分かるくらいだと思います。
全て再エネにする。火力発電ゼロにする。電気自動車以外は廃止する。化石燃料を使う暖房器具は廃止する。お願いだからそうしてください。どうか、国民の声を聞いてください。",A3_4,国民の声を聞いてほしい,1_7,国民参加による透明性のあるエネルギー政策の実現,dhtool2025/full-complete-compressed,,1,3,group-3
4,"35ページ
（3）原子力発電
安全を確保して推進するというが反対である。削除すべきである。
なぜなら4枚のプレート境界上にある日本は地震の被害を避けられない。福島事故も防げなかったのに同じ過ちを繰り返すべきでない。南海トラフ地震は無視しているのか。安全であることなど誰も証明できない。
経産省は無責任な案を提出すべきでない。",A4_0,原子力発電は安全を確保して推進すべきではない。,1_5,原子力発電の安全性と経済性に関する懸念の総合的評価,dhtool2025/full-complete-compressed,,1,4,group-4
4,"35ページ
（3）原子力発電
安全を確保して推進するというが反対である。削除すべきである。
なぜなら4枚のプレート境界上にある日本は地震の被害を避けられない。福島事故も防げなかったのに同じ過ちを繰り返すべきでない。南海トラフ地震は無視しているのか。安全であることなど誰も証明できない。
経産省は無責任な案を提出すべきでない。",A4_1,日本は地震の被害を避けられないため、原子力発電を削除すべきである。,1_6,原発リスクの再評価と持続可能なエネルギー政策の必要性,dhtool2025/full-complete-compressed,,1,4,group-4
4,"35ページ
（3）原子力発電
安全を確保して推進するというが反対である。削除すべきである。
なぜなら4枚のプレート境界上にある日本は地震の被害を避けられない。福島事故も防げなかったのに同じ過ちを繰り返すべきでない。南海トラフ地震は無視しているのか。安全であることなど誰も証明できない。
経産省は無責任な案を提出すべきでない。",A4_2,福島事故を防げなかった過去を繰り返すべきではない。,1_6,原発リスクの再評価と持続可能なエネルギー政策の必要性,dhtool2025/full-complete-compressed,,1,4,group-4
4,"35ページ
（3）原子力発電
安全を確保して推進するというが反対である。削除すべきである。
なぜなら4枚のプレート境界上にある日本は地震の被害を避けられない。福島事故も防げなかったのに同じ過ちを繰り返すべきでない。南海トラフ地震は無視しているのか。安全であることなど誰も証明できない。
経産省は無責任な案を提出すべきでない。",A4_3,南海トラフ地震を無視しているのか。,1_6,原発リスクの再評価と持続可能なエネルギー政策の必要性,dhtool2025/full-complete-compressed,,1,4,group-4
4,"35ページ
（3）原子力発電
安全を確保して推進するというが反対である。削除すべきである。
なぜなら4枚のプレート境界上にある日本は地震の被害を避けられない。福島事故も防げなかったのに同じ過ちを繰り返すべきでない。南海トラフ地震は無視しているのか。安全であることなど誰も証明できない。
経産省は無責任な案を提出すべきでない。",A4_4,安全であることは誰も証明できない。,1_5,原子力発電の安全性と経済性に関する懸念の総合的評価,dhtool2025/full-complete-compressed,,1,4,group-4
4,"35ページ
（3）原子力発電
安全を確保して推進するというが反対である。削除すべきである。
なぜなら4枚のプレート境界上にある日本は地震の被害を避けられない。福島事故も防げなかったのに同じ過ちを繰り返すべきでない。南海トラフ地震は無視しているのか。安全であることなど誰も証明できない。
経産省は無責任な案を提出すべきでない。",A4_5,経産省は無責任な案を提出すべきではない。,1_7,国民参加による透明性のあるエネルギー政策の実現,dhtool2025/full-complete-compressed,,1,4,group-4
5,"原発エネルギーを止めるべきです。ウクライナ戦争を見ると原発は攻撃の標的になり得る、国内に核兵器を持っているようなもの。国民に向けた核兵器です。
次に、原発は廃炉にしてやめていくべきです。
2023年に原発で8.5%であるのに2024年の原発エネルギーが2割になるのはおかしい。ほとんど老朽化した原発なので新規に作らなければ目的を達成できない。
それより再生エネルギーにシフトし、雇用を増やし、国内でエネルギーを作り、海外から輸入しなくても良いようにする。",A5_0,原発エネルギーを止めるべきである。,1_8,国民の安全と持続可能なエネルギー政策の確立,dhtool2025/full-complete-compressed,,1,5,group-5
5,"原発エネルギーを止めるべきです。ウクライナ戦争を見ると原発は攻撃の標的になり得る、国内に核兵器を持っているようなもの。国民に向けた核兵器です。
次に、原発は廃炉にしてやめていくべきです。
2023年に原発で8.5%であるのに2024年の原発エネルギーが2割になるのはおかしい。ほとんど老朽化した原発なので新規に作らなければ目的を達成できない。
それより再生エネルギーにシフトし、雇用を増やし、国内でエネルギーを作り、海外から輸入しなくても良いようにする。",A5_1,原発は攻撃の標的になり得るため、国内に核兵器を持っているようなものだ。,1_8,国民の安全と持続可能なエネルギー政策の確立,dhtool2025/full-complete-compressed,,1,5,group-5
5,"原発エネルギーを止めるべきです。ウクライナ戦争を見ると原発は攻撃の標的になり得る、国内に核兵器を持っているようなもの。国民に向けた核兵器です。
次に、原発は廃炉にしてやめていくべきです。
2023年に原発で8.5%であるのに2024年の原発エネルギーが2割になるのはおかしい。ほとんど老朽化した原発なので新規に作らなければ目的を達成できない。
それより再生エネルギーにシフトし、雇用を増やし、国内でエネルギーを作り、海外から輸入しなくても良いようにする。",A5_2,原発は廃炉にしてやめていくべきである。,1_8,国民の安全と持続可能なエネルギー政策の確立,dhtool2025/full-complete-compressed,,1,5,group-5
5,"原発エネルギーを止めるべきです。ウクライナ戦争を見ると原発は攻撃の標的になり得る、国内に核兵器を持っているようなもの。国民に向けた核兵器です。
次に、原発は廃炉にしてやめていくべきです。
2023年に原発で8.5%であるのに2024年の原発エネルギーが2割になるのはおかしい。ほとんど老朽化した原発なので新規に作らなければ目的を達成できない。
それより再生エネルギーにシフトし、雇用を増やし、国内でエネルギーを作り、海外から輸入しなくても良いようにする。",A5_3,2024年の原発エネルギーが2割になるのはおかしい。,1_1,持続可能な社会実現に向けた気候変動対策の強化,dhtool2025/full-complete-compressed,,1,5,group-5
5,"原発エネルギーを止めるべきです。ウクライナ戦争を見ると原発は攻撃の標的になり得る、国内に核兵器を持っているようなもの。国民に向けた核兵器です。
次に、原発は廃炉にしてやめていくべきです。
2023年に原発で8.5%であるのに2024年の原発エネルギーが2割になるのはおかしい。ほとんど老朽化した原発なので新規に作らなければ目的を達成できない。
それより再生エネルギーにシフトし、雇用を増やし、国内でエネルギーを作り、海外から輸入しなくても良いようにする。",A5_4,老朽化した原発が多いため、新規に作らなければ目的を達成できない。,1_8,国民の安全と持続可能なエネルギー政策の確立,dhtool2025/full-complete-compressed,,1,5,group-5
5,"原発エネルギーを止めるべきです。ウクライナ戦争を見ると原発は攻撃の標的になり得る、国内に核兵器を持っているようなもの。国民に向けた核兵器です。
次に、原発は廃炉にしてやめていくべきです。
2023年に原発で8.5%であるのに2024年の原発エネルギーが2割になるのはおかしい。ほとんど老朽化した原発なので新規に作らなければ目的を達成できない。
それより再生エネルギーにシフトし、雇用を増やし、国内でエネルギーを作り、海外から輸入しなくても良いようにする。",A5_5,再生エネルギーにシフトし、雇用を増やし、国内でエネルギーを作るべきである。,1_4,持続可能なエネルギーシステムへの転換と原発依存の見直し,dhtool2025/full-complete-compressed,,1,5,group-5
6,原子力産業の儲けと被害の受け手が大きくズレていることが、東電事故を通じて露わになった。事故処理は終わっていない。原発のリスクとコストは相対的にも絶対的にも大きい。原子力依存への回帰は、再考すべき。,A6_0,原子力産業の儲けと被害の受け手が大きくズレていることが、東電事故を通じて露わになった。,1_6,原発リスクの再評価と持続可能なエネルギー政策の必要性,dhtool2025/full-complete-compressed,,1,6,group-6
6,原子力産業の儲けと被害の受け手が大きくズレていることが、東電事故を通じて露わになった。事故処理は終わっていない。原発のリスクとコストは相対的にも絶対的にも大きい。原子力依存への回帰は、再考すべき。,A6_1,事故処理は終わっていない。,1_6,原発リスクの再評価と持続可能なエネルギー政策の必要性,dhtool2025/full-complete-compressed,,1,6,group-6
6,原子力産業の儲けと被害の受け手が大きくズレていることが、東電事故を通じて露わになった。事故処理は終わっていない。原発のリスクとコストは相対的にも絶対的にも大きい。原子力依存への回帰は、再考すべき。,A6_2,原発のリスクとコストは相対的にも絶対的にも大きい。,1_5,原子力発電の安全性と経済性に関する懸念の総合的評価,dhtool2025/full-complete-compressed,,1,6,group-6
6,原子力産業の儲けと被害の受け手が大きくズレていることが、東電事故を通じて露わになった。事故処理は終わっていない。原発のリスクとコストは相対的にも絶対的にも大きい。原子力依存への回帰は、再考すべき。,A6_3,原子力依存への回帰は再考すべき。,1_5,原子力発電の安全性と経済性に関する懸念の総合的評価,dhtool2025/full-complete-compressed,,1,6,group-6
7,"原子力発電の最大限活用に賛成します。エネルギー自給率の向上、脱炭素化を目指すためには、適地が減少しつつある再生可能エネルギーだけではなく、原子力の活用も必須です。
3.11以降日本の原子力産業は再稼働にリソースが割かれ、新設が途絶えてしまったためサプライチェーンの再整備も重要と考えます。イギリス、フランス、アメリカでは長期間に渡り原子力発電の新設がなかったため、いざ新設を行った際、建設のノウハウ
が失われており、プロジェクトの遅延及びコストオーバーランが問題となっています。日本は同じ過ちを犯さないよう、国が全力をあげて支援を行うべきです。
また、再生可能エネルギーに比べ原子力エネルギーは電気だけではなく、クリーンな熱源にもなりうる点が大きく異なります。大規模な熱需要の脱炭素化に向け、原子力の熱利用についても研究開発及び商業化の支援を行うべきと考えます。",A7_0,原子力発電の最大限活用に賛成であり、エネルギー自給率の向上と脱炭素化のためには原子力の活用が必須である。,1_5,原子力発電の安全性と経済性に関する懸念の総合的評価,dhtool2025/full-complete-compressed,,1,7,group-7
7,"原子力発電の最大限活用に賛成します。エネルギー自給率の向上、脱炭素化を目指すためには、適地が減少しつつある再生可能エネルギーだけではなく、原子力の活用も必須です。
3.11以降日本の原子力産業は再稼働にリソースが割かれ、新設が途絶えてしまったためサプライチェーンの再整備も重要と考えます。イギリス、フランス、アメリカでは長期間に渡り原子力発電の新設がなかったため、いざ新設を行った際、建設のノウハウ
が失われており、プロジェクトの遅延及びコストオーバーランが問題となっています。日本は同じ過ちを犯さないよう、国が全力をあげて支援を行うべきです。
また、再生可能エネルギーに比べ原子力エネルギーは電気だけではなく、クリーンな熱源にもなりうる点が大きく異なります。大規模な熱需要の脱炭素化に向け、原子力の熱利用についても研究開発及び商業化の支援を行うべきと考えます。",A7_1,日本は原子力産業の再稼働にリソースを割いているため、サプライチェーンの再整備が重要である。,1_5,原子力発電の安全性と経済性に関する懸念の総合的評価,dhtool2025/full-complete-compressed,,1,7,group-7
7,"原子力発電の最大限活用に賛成します。エネルギー自給率の向上、脱炭素化を目指すためには、適地が減少しつつある再生可能エネルギーだけではなく、原子力の活用も必須です。
3.11以降日本の原子力産業は再稼働にリソースが割かれ、新設が途絶えてしまったためサプライチェーンの再整備も重要と考えます。イギリス、フランス、アメリカでは長期間に渡り原子力発電の新設がなかったため、いざ新設を行った際、建設のノウハウ
が失われており、プロジェクトの遅延及びコストオーバーランが問題となっています。日本は同じ過ちを犯さないよう、国が全力をあげて支援を行うべきです。
また、再生可能エネルギーに比べ原子力エネルギーは電気だけではなく、クリーンな熱源にもなりうる点が大きく異なります。大規模な熱需要の脱炭素化に向け、原子力の熱利用についても研究開発及び商業化の支援を行うべきと考えます。",A7_2,国は原子力発電の新設を支援し、過去の失敗を繰り返さないようにすべきである。,1_5,原子力発電の安全性と経済性に関する懸念の総合的評価,dhtool2025/full-complete-compressed,,1,7,group-7
7,"原子力発電の最大限活用に賛成します。エネルギー自給率の向上、脱炭素化を目指すためには、適地が減少しつつある再生可能エネルギーだけではなく、原子力の活用も必須です。
3.11以降日本の原子力産業は再稼働にリソースが割かれ、新設が途絶えてしまったためサプライチェーンの再整備も重要と考えます。イギリス、フランス、アメリカでは長期間に渡り原子力発電の新設がなかったため、いざ新設を行った際、建設のノウハウ
が失われており、プロジェクトの遅延及びコストオーバーランが問題となっています。日本は同じ過ちを犯さないよう、国が全力をあげて支援を行うべきです。
また、再生可能エネルギーに比べ原子力エネルギーは電気だけではなく、クリーンな熱源にもなりうる点が大きく異なります。大規模な熱需要の脱炭素化に向け、原子力の熱利用についても研究開発及び商業化の支援を行うべきと考えます。",A7_3,原子力エネルギーは電気だけでなくクリーンな熱源にもなりうるため、熱利用の研究開発及び商業化の支援が必要である。,1_4,持続可能なエネルギーシステムへの転換と原発依存の見直し,dhtool2025/full-complete-compressed,,1,7,group-7
8,"脱炭素と電気料金の低廉化を図るべく、原発利用の縮小といった趣旨を削ったことを評価できます。
またエネルギー安全保障上も原発利用は理にかなっていますので、推進を期待したい。再エネと原発を排他的にどちらかだけという活動家が見られますが、どちらも手を取り合って共に推進・利用すべきだと思います。
石破首相はGX推進について臨時国会で所信表明演説を触れました。ここで岸田政権の流れからして国が前面にたって原発利用を表明するなら、自治体同意を必須とするのではなく、2012年の民主党野田首相の大飯原発稼働を表明するようなある種の
強権的な政治判断を期待したい。",A8_0,脱炭素と電気料金の低廉化を図るために原発利用の縮小を評価する,1_4,持続可能なエネルギーシステムへの転換と原発依存の見直し,dhtool2025/full-complete-compressed,,1,8,group-8
8,"脱炭素と電気料金の低廉化を図るべく、原発利用の縮小といった趣旨を削ったことを評価できます。
またエネルギー安全保障上も原発利用は理にかなっていますので、推進を期待したい。再エネと原発を排他的にどちらかだけという活動家が見られますが、どちらも手を取り合って共に推進・利用すべきだと思います。
石破首相はGX推進について臨時国会で所信表明演説を触れました。ここで岸田政権の流れからして国が前面にたって原発利用を表明するなら、自治体同意を必須とするのではなく、2012年の民主党野田首相の大飯原発稼働を表明するようなある種の
強権的な政治判断を期待したい。",A8_1,エネルギー安全保障上、原発利用の推進を期待する,1_4,持続可能なエネルギーシステムへの転換と原発依存の見直し,dhtool2025/full-complete-compressed,,1,8,group-8
8,"脱炭素と電気料金の低廉化を図るべく、原発利用の縮小といった趣旨を削ったことを評価できます。
またエネルギー安全保障上も原発利用は理にかなっていますので、推進を期待したい。再エネと原発を排他的にどちらかだけという活動家が見られますが、どちらも手を取り合って共に推進・利用すべきだと思います。
石破首相はGX推進について臨時国会で所信表明演説を触れました。ここで岸田政権の流れからして国が前面にたって原発利用を表明するなら、自治体同意を必須とするのではなく、2012年の民主党野田首相の大飯原発稼働を表明するようなある種の
強権的な政治判断を期待したい。",A8_2,再エネと原発は排他的ではなく、共に推進・利用すべき,1_4,持続可能なエネルギーシステムへの転換と原発依存の見直し,dhtool2025/full-complete-compressed,,1,8,group-8
8,"脱炭素と電気料金の低廉化を図るべく、原発利用の縮小といった趣旨を削ったことを評価できます。
またエネルギー安全保障上も原発利用は理にかなっていますので、推進を期待したい。再エネと原発を排他的にどちらかだけという活動家が見られますが、どちらも手を取り合って共に推進・利用すべきだと思います。
石破首相はGX推進について臨時国会で所信表明演説を触れました。ここで岸田政権の流れからして国が前面にたって原発利用を表明するなら、自治体同意を必須とするのではなく、2012年の民主党野田首相の大飯原発稼働を表明するようなある種の
強権的な政治判断を期待したい。",A8_3,岸田政権が原発利用を表明する際、自治体同意を必須とせず、強権的な政治判断を期待する,1_8,国民の安全と持続可能なエネルギー政策の確立,dhtool2025/full-complete-compressed,,1,8,group-8
9,"国の審査に合格した原発は都道府県への届出のみで運転できるようにしたらどうか。
どうしても地元同意が必要であれば法手続として手続きの方法や期限を規定すべき。
また法的根拠のない原発の運転制限は財産権の侵害の恐れがあると周知するべき。",A9_0,国の審査に合格した原発は都道府県への届出のみで運転できるようにすべき,1_8,国民の安全と持続可能なエネルギー政策の確立,dhtool2025/full-complete-compressed,,1,9,group-9
9,"国の審査に合格した原発は都道府県への届出のみで運転できるようにしたらどうか。
どうしても地元同意が必要であれば法手続として手続きの方法や期限を規定すべき。
また法的根拠のない原発の運転制限は財産権の侵害の恐れがあると周知するべき。",A9_1,地元同意が必要な場合は法手続きの方法や期限を規定すべき,1_7,国民参加による透明性のあるエネルギー政策の実現,dhtool2025/full-complete-compressed,,1,9,group-9
9,"国の審査に合格した原発は都道府県への届出のみで運転できるようにしたらどうか。
どうしても地元同意が必要であれば法手続として手続きの方法や期限を規定すべき。
また法的根拠のない原発の運転制限は財産権の侵害の恐れがあると周知するべき。",A9_2,法的根拠のない原発の運転制限は財産権の侵害の恐れがあることを周知すべき,1_8,国民の安全と持続可能なエネルギー政策の確立,dhtool2025/full-complete-compressed,,1,9,group-9
10,"原子力の事故後の処理費用が膨大過ぎて費用の総額すら見通せない。
原子力発電で生じる使用済み燃料と、再処理後に生じる高レベル廃棄物等の
長期にわたる最終処分場すら決められないままに運転し増加させている矛盾。
安価で安定した電力確保のため
特に積雪が多い地域には高効率火力も一定数維持されるべき。
地熱発電の利用拡大。
太陽光発電での電力の有効利用促進に
蓄電所のような電力調整できる仕組みの整備が急がれる.",A10_0,原子力の事故後の処理費用が膨大過ぎて費用の総額すら見通せない,1_5,原子力発電の安全性と経済性に関する懸念の総合的評価,dhtool2025/full-complete-compressed,,1,10,group-10
10,"原子力の事故後の処理費用が膨大過ぎて費用の総額すら見通せない。
原子力発電で生じる使用済み燃料と、再処理後に生じる高レベル廃棄物等の
長期にわたる最終処分場すら決められないままに運転し増加させている矛盾。
安価で安定した電力確保のため
特に積雪が多い地域には高効率火力も一定数維持されるべき。
地熱発電の利用拡大。
太陽光発電での電力の有効利用促進に
蓄電所のような電力調整できる仕組みの整備が急がれる.",A10_1,原子力発電で生じる使用済み燃料と高レベル廃棄物の最終処分場が決まらないまま運転を続けるのは矛盾している,1_6,原発リスクの再評価と持続可能なエネルギー政策の必要性,dhtool2025/full-complete-compressed,,1,10,group-10
10,"原子力の事故後の処理費用が膨大過ぎて費用の総額すら見通せない。
原子力発電で生じる使用済み燃料と、再処理後に生じる高レベル廃棄物等の
長期にわたる最終処分場すら決められないままに運転し増加させている矛盾。
安価で安定した電力確保のため
特に積雪が多い地域には高効率火力も一定数維持されるべき。
地熱発電の利用拡大。
太陽光発電での電力の有効利用促進に
蓄電所のような電力調整できる仕組みの整備が急がれる.",A10_2,安価で安定した電力確保のために、特に積雪が多い地域には高効率火力を一定数維持すべき,1_4,持続可能なエネルギーシステムへの転換と原発依存の見直し,dhtool2025/full-complete-compressed,,1,10,group-10
10,"原子力の事故後の処理費用が膨大過ぎて費用の総額すら見通せない。
原子力発電で生じる使用済み燃料と、再処理後に生じる高レベル廃棄物等の
長期にわたる最終処分場すら決められないままに運転し増加させている矛盾。
安価で安定した電力確保のため
特に積雪が多い地域には高効率火力も一定数維持されるべき。
地熱発電の利用拡大。
太陽光発電での電力の有効利用促進に
蓄電所のような電力調整できる仕組みの整備が急がれる.",A10_3,地熱発電の利用拡大が必要である,1_4,持続可能なエネルギーシステムへの転換と原発依存の見直し,dhtool2025/full-complete-compressed,,1,10,group-10
10,"原子力の事故後の処理費用が膨大過ぎて費用の総額すら見通せない。
原子力発電で生じる使用済み燃料と、再処理後に生じる高レベル廃棄物等の
長期にわたる最終処分場すら決められないままに運転し増加させている矛盾。
安価で安定した電力確保のため
特に積雪が多い地域には高効率火力も一定数維持されるべき。
地熱発電の利用拡大。
太陽光発電での電力の有効利用促進に
蓄電所のような電力調整できる仕組みの整備が急がれる.",A10_4,太陽光発電の有効利用促進には、蓄電所のような電力調整できる仕組みの整備が急がれる,1_4,持続可能なエネルギーシステムへの転換と原発依存の見直し,dhtool2025/full-complete-compressed,,1,10,group-10
11,"原子力発電を推進することに反対します。日本は災害の多い国です。また、戦争に巻き込まれた時に、攻撃対象になるのが原発です。国際法違反であろうと、現にウクライナでは原発が攻撃されています。世界では再生可能エネルギーへの転換が進んで
います。日本だけが取り残されてはいけない。また、原発に関わる費用を国民に押し付けることにも反対します。次の選挙ではこれらの点を重要視します。",A11_0,原子力発電を推進することに反対する,1_5,原子力発電の安全性と経済性に関する懸念の総合的評価,dhtool2025/full-complete-compressed,,1,11,group-11
11,"原子力発電を推進することに反対します。日本は災害の多い国です。また、戦争に巻き込まれた時に、攻撃対象になるのが原発です。国際法違反であろうと、現にウクライナでは原発が攻撃されています。世界では再生可能エネルギーへの転換が進んで
います。日本だけが取り残されてはいけない。また、原発に関わる費用を国民に押し付けることにも反対します。次の選挙ではこれらの点を重要視します。",A11_1,日本は災害の多い国であり、原発は戦争時に攻撃対象になる可能性がある,1_6,原発リスクの再評価と持続可能なエネルギー政策の必要性,dhtool2025/full-complete-compressed,,1,11,group-11
